Column,Source,Title,Description,URL
0,New York Times,gop proposes 1 billion in immigration bill for trumps ballroom project,the money would go toward security improvements as part of an east wing construction project including a new ballroom that president trump has said would be built with private dollars,https://www.nytimes.com/2026/05/05/us/politics/republicans-immigration-bill-trump-ballroom.html
7,ABC News,immigrants targeted by scams amid trump administrations deportation push,the relatives of some migrants in ice detention are being scammed into paying for fake legal services that purport to help free them law enforcement officials say,https://abcnews.com/US/fake-courtrooms-sham-hearings-immigrants-targeted-scams-amid/story?id=132638558
21,alternet,trump doj makes rare apology after gaffe threatened judges job,president donald trumps justice department issued a rare apology to a bidenappointed district judge after withholding key information about the charges leveled against an undocumented immigrant that she ordered to be released from detention leading to calls for her impeachment marking the latest flub in a growing trend of incidents from the agencyus district court judge melissa dubose was appointed to the bench in the district of rhode island during the final days of her term last week she issued a ruling ordering that brian rafael gomez be released from ice custody pending a bond,https://www.alternet.org/trump-doj-mistake/
77,ABC News,house republicans narrowly approve blueprint to fund ice cbp,after drama and delay house republicans narrowly approved a blueprint for legislation to fund immigration enforcement agencies,https://abcnews.com/Politics/house-republicans-narrowly-approve-blueprint-fund-ice-cbp/story?id=132534420
81,BBC News - US & Canada,us house votes to end government shutdown over immigration operations,the bill already passed in the us senate now moves to the desk of president donald trump who is expected to swiftly sign the legislation,https://www.bbc.com/news/articles/ce3pw5x3z54o?at_medium=RSS&at_campaign=rss
87,alternet,like a horror movie us coast guard on track to run out of money this week,the us coast guard will be out of money at the end of this week if congress doesnt step in cbs news reported that the military branch is now  days into the longest government shutdown in us history which is impacting the department of homeland security last year dhs was given considerable budget for immigration and customs enforcement ice and us customs and border protection cbp so republicans have fought to give them even more in the new budget it has held up all dhs funding now the coast guard owes over  million in unpaid contracts there are thousands of utility,https://www.alternet.org/coast-guard/
101,The New York Times,house adopts budget to unlock 70 billion for immigration enforcement,the measure will allow the gop to begin working on a filibusterproof bill to fund ice and cbp part of their plan to reopen the longshuttered department of homeland security,https://www.nytimes.com/2026/04/29/us/politics/house-ice-budget-immigration.html
109,The New York Times,trump administration sues new jersey governor over ice mask ban,new jersey where mikie sherrill is governor is one of only a few states to try to bar federal immigration agents from wearing masks,https://www.nytimes.com/2026/04/29/nyregion/new-jersey-trump-ice-mask-lawsuit.html
111,ABC News,scotus considers trumps bid to end temporary protected status for haitians syrians,the supreme court grappled with whether the trump admin has the authority to end humanitarian protections for thousands of immigrants without facing judicial review,https://abcnews.com/US/scotus-considers-trumps-bid-end-temporary-protected-status/story?id=132502767
146,alternet,a 400 million dance floor trumps white house wish hits a wall,president donald trump wants to use the assassination attempt against him to incentivize the building a white house ballroom  but at least one possible route for achieving this may be closed off to himsenate majority leader john thune was noncommittal monday over whether congress could greenlight construction of the white house ballroom as part of the gops partyline immigration enforcement bill politico reported on monday quoting him as saying i dont know well see whats achievablein the aftermath of the attempt on trumps life at the white house correspondents,https://www.alternet.org/a-400m/
166,The New York Times,the hard life of an immigrant whose killing became a symbol for trump,president trump posted surveillance footage of nilufa easmins brutal killing by another immigrant to advance his agenda behind the rhetoric was a more nuanced story,https://www.nytimes.com/2026/04/26/us/the-hard-life-of-an-immigrant-whose-killing-became-a-symbol-for-trump.html
178,The New York Times,tennessee passed a slate of immigration bills heres what they do,the republican supermajority in the tennessee general assembly approved a series of immigrations bills crafted in coordination with the white house,https://www.nytimes.com/2026/04/25/us/politics/tennessee-immigration-bills-what-to-know.html
179,The New York Times,under trump green card seekers face new scrutiny for views on israel,in guidance to immigration officers the administration describes participating in propalestinian protests and criticizing israel as overwhelmingly negative factors,https://www.nytimes.com/2026/04/25/us/politics/trump-green-cards-scrutiny.html
182,The New York Times,the 85yearold widow snagged by trumps immigration crackdown,in her first interview since being deported mariethérèse rossmahé the french widow of a former gi recounted her experience in ice detention,https://www.nytimes.com/2026/04/25/us/french-ross-mahe-ice-detention.html
192,alternet,conservative sounds alarm trump conspiracies are tearing the gop apart,conservative columnist and commentator matt lewis thinks that conspiracies about president donald trump have reached a whole new level and hes sounding the alarm writing for the hill on friday lewis commented that for someone known for creating so many conspiracy theories it has become a live by the sword  die by the sword life in the second term of trumps presidency for the past ten years nothing trump said or did could bring him down his conspiracies about former president barack obama and false claims that haitian immigrants were eating peoples pets have been mocked but didn,https://www.alternet.org/trump-conspiracy-theories-2676810510/
193,alternet,trump humiliated as republicans say his no 1 priority is dead in the water,president donald trump recently proclaimed that the save act was his number one priority but according to lawmakers who spoke with notus the bill is dead in the water with one source saying that horse has left the barnthe save act is a sweeping election reform proposal built largely on the back of trumps longdebunked claims that immigrants are illegally voting in massive numbers among other provisions the bill would require individuals to present proof of citizenship and id when registering to vote and when voting in person critics have argued that this would disenfranchise a,https://www.alternet.org/trump-voting-save-act/
207,The New York Times,trump reposts antiimmigrant tirade calling china and india hellhole places,the president touched off a furor with his post sharing a podcast episode in which the host referred to china and india as hellhole places,https://www.nytimes.com/2026/04/23/us/politics/trump-china-india-immigrants.html
209,alternet,lawyer says his office  flooded with americans escaping to canada,president donald trumps policies are so unpopular many americans are considering fleeing to their northern neighbor  and it appears a new canadian policy intended to help them is so popular one lawyers office is inundated with callsnicholas berning an immigration attorney at boundary bay law in bellingham washington said his practice is ‘pretty much flooded with this reported the associated press sarah raza on thursday berning was referring to americans who believe that because canada will now extend citizenship to anyone who can prove an ancestor was born in their,https://www.alternet.org/trump-unpopular-canada-leader/
224,alternet,vile racist trump promotes unhinged antibirthright citizenship screed,president donald trump used his truth social platform wednesday to amplify a racist antiimmigrant screed attacking birthright citizenship that calls india and china  two of americas most critical strategic partners  hellhole nations discusses defying the supreme court and urges federal prosecution of the countrys leading civil liberties organizationthe attack a transcript from a savage nation podcast details rightwing radio host michael savages response to recent supreme court arguments in trump v barbara  a case in which the aclu is challenging trumps,https://www.alternet.org/send/trump-birthright/
230,The New York Times,senate adopts gop budget laying the groundwork to fund ice and reopen dhs,republicans pushed through a budget plan with a  billion increase for immigration enforcement after an overnight session in which they beat back democratic proposals aimed at lowering costs,https://www.nytimes.com/2026/04/23/us/politics/senate-gop-budget-immigration.html
233,BBC News - US & Canada,us senate clears key hurdle in bid to fund two immigration agencies,the measure now requires approval from the house if lawmakers are to succeed at fully reopening the government,https://www.bbc.com/news/articles/cr7118kn0rjo?at_medium=RSS&at_campaign=rss
239,The New York Times,senate adopts gop budget defeating democrats affordability proposals,republicans pushed through a budget plan with a  billion increase for immigration enforcement after an overnight session in which they beat back democratic proposals aimed at lowering costs,https://www.nytimes.com/2026/04/23/us/politics/senate-plunges-into-vote-marathon-as-gop-advances-ice-funding-boost.html
247,ABC News,us army sergeants wife faces deportation to mexico attorney says,an attorney representing the wife of an activeduty us army sergeant said she was misled about her release from immigration detention wednesday and faces deportation,https://abcnews.com/US/us-army-sergeants-wife-told-shed-released-faces/story?id=132295017
291,The New York Times,senate republicans push forward on measure to fund ice through 2029,the resolution would pave the way for republicans to push through a  billion infusion to pay for immigration enforcement for the remainder of president trumps tenure,https://www.nytimes.com/2026/04/21/us/politics/senate-republicans-budget-ice.html
316,alternet,the supreme court just told us trump is going to lose this case foremost expert,while admitting that trying to predict rulings from the supreme court can be foolish a veteran court reporter for the new york times nevertheless predicted that president donald trump is cruising for an inevitable defeat in one particular caselinda greenhouse is a pulitzer prizewinning reporter known for covering the supreme court for the times from  to  in a new piece published thursday morning she highlighted an ongoing case involving the trump administrations efforts to revoke temporary protected status from haitian and syrian immigrants trump v miot and mullin v doe the,https://www.alternet.org/immigration-supreme-court-cases/
327,The New York Times,justice sotomayor apologizes for highly personal criticism of justice kavanaugh,at the university of kansas school of law last week she criticized her colleague while discussing his views in an immigrationrelated case,https://www.nytimes.com/2026/04/15/us/politics/supreme-court-sotomayor-kavanaugh.html
338,alternet,judge tears apart trump officials excuse  and issues fine,something happened on wednesday that one civil rights lawyer called inconceivable  months ago a justice department prosecutor was sanctioned by a judge it may not seem like a big deal after all it was only  but political legal reporter kyle cheney explained that it was after a prosecutor used a commonly heard phrase in court for the past  months the doj has been completely overwhelmed american citizens and legal immigrants are being swept up in president donald trumps mass deportation efforts and the president is breathing down the necks of the doj to go after his political,https://www.alternet.org/justice-department-2676735712/
350,alternet,america is better than trump and his chief bigot,trumps chief bigot stephen miller said on fox news that immigrants to the united states bring problems that extend through generationsnot only is the first generation unsuccessful miller claimed you see persistent issues in every subsequent generation so you see consistent high rates of welfare use consistent high rates of criminal activity consistent failures to assimilatebullshit the children and grandchildren and greatgrandchildren of most immigrants are models of upward mobility in americain a recent paper researchers found that immigrants today are no slower to,https://www.alternet.org/trump-miller-bigots/
363,alternet,gop consultant predicts epsteins depravity will collapse after midterms,president donald trump may act like he is answerable to no one but an exrepublican consultant warns that he and the rest of the epstein class are nearing the end of their heydayeveryone knows how much the trump family cares about the little people wrote steve schmidt who previously advised president george w bush in a substack post on tuesday he then showed a picture of first lady melania trump going to an immigrant detention facility wearing a jacket saying i dont really care do ushes a beautiful soul schmidt wrote sarcastically and then proceeded to,https://www.alternet.org/jefftrey-epsteoin-donald-trump/
371,The New York Times,at a difficult time a minnesota museum offers respite to somalis,as one of the few institutions of its kind in the world the somali museum of minnesota has become a center of the immigrant community,https://www.nytimes.com/2026/04/14/arts/design/somali-museum-minnesota.html
372,The New York Times,how stephen miller is adjusting trumps immigration agenda,after the chaos and death that ensued during the deportation raids in minneapolis stephen miller the architect of president trumps mass deportation campaign is changing course on immigration our white house correspondent zolan kannoyoungs explains how the administrations strategy is shifting,https://www.nytimes.com/video/us/politics/100000010832126/stephen-miller-trump-immigration-crackdown.html
380,The New York Times,undocumented immigrants fear tax data will be shared with ice,fears that the irs could share their data with ice have turned tax season into a gamble for people who are in the country illegally,https://www.nytimes.com/2026/04/14/us/undocumented-immigrants-ice-tax-returns-irs.html
384,alternet,nyt board breaks down newly revealed road map for toppling trump,the landslide defeat of hungarian prime minister viktor orbán was not just a repudiation of his authoritarian rule and a blow to the global farright movement according to the new york times editorial board it also revealed a road map for toppling president donald trumporbán has been a close ally to the maga movement in the us so much so that vice president jd vance was dispatched to hungary to campaign on his behalf the outgoing prime ministers efforts to exploit the judiciary redraw electoral maps in his favor target immigrants and consolidate media control under his allies have,https://www.alternet.org/trump-orban-2676710019/
396,The New York Times,prosecutors investigate ice agents who detained chongly scott thao in minnesota,chongly scott thao a naturalized us citizen was briefly detained during a federal immigration crackdown in minnesota in january,https://www.nytimes.com/2026/04/13/us/ice-minnesota-arrest-immigration-investigation.html
415,alternet,trumps threat against pope leo is exactly why francis shaped him for the job,in recent days we learned that pope leo will likely not visit the united states during trumps presidency and declined an invite to the th birthday celebrationsthe tensions between the vatican and the us have been clear as leo has slammed trump for his brutal attacks on immigrants and now his reckless war in iran in which trump threatened to wipe out an entire civilization a report has now surfaced that the pentagonnot the state departmentcalled the vaticans ambassador in for a meeting in january after the popes state of the world speech in which he criticized,https://www.alternet.org/trump-francis-leo/
420,The New York Times,second venezuelan doctor detained in south texas by immigration agents,an er doctor was detained saturday just days after a family physician had been detained both were traveling when immigration agents took them into custody,https://www.nytimes.com/2026/04/11/us/second-venezuelan-doctor-detained-in-south-texas-by-immigration-agents.html
422,The New York Times,judges fired after blocking deportations of propalestinian students,the immigration judges abrupt dismissals marked the latest efforts by the trump administration to reshape the countrys immigration courts,https://www.nytimes.com/2026/04/11/us/politics/immigration-judges-deportations-students.html
424,alternet,red state extremist group flames out after hometown unravels,the guardian reports a small west virginia town is still trying to recover from becoming the face of white nationalism after a nonprofit selling white replacement theory and other conspiracies moved in and began flooding the internet with conspiraciesberkeley springs west virginia residents learned peter and lydia brimelow  owners of the controversial online publication vdare  bought property in the area in critics have accused the antiimmigration publication of being the genteel face of a constellation of white nationalist groups reports the guardian  vdare,https://www.alternet.org/racism-republican-party-nick-fuentes/
445,The New York Times,the mass purge of immigration judges and melania trumps surprise epstein remarks,plus your friday news quiz,https://www.nytimes.com/2026/04/10/podcasts/the-headlines/immigration-judges-melania-trumps-epstein-remarks.html
468,The New York Times,questions about nc stabbing suspects mental illness loom over case,decarlos brown jr who is charged with murdering a ukrainian immigrant was found incapable of proceeding to state trial a federal case against him will come first,https://www.nytimes.com/2026/04/09/us/charlotte-rail-stabbing-decarlos-brown-iryna-zarutska.html
476,alternet,bombshell report proves evangelicals dragging catholics deeper into heresy jesuit priest,amid the escalating attacks against pope leo xiv by the trump administration a jesuit priest hit back claiming that the conflict was not the result of the religious leader being woke but rather american conservatives veering deeper into heresypresident donald trump and his allies have been in a feud of sorts with the american pope since he ascended to the role last spring and began espousing views counter to the maga agenda including respect and dignity for immigrants as well as opposition to armed conflicts the feud reached a new high this week after christopher hale a chronicler,https://www.alternet.org/jesuit-priest-torches-on-pope-as-conservatism-veering-deeper-into-heresy/
477,The New York Times,how trump purged immigration judges to speed up deportations,judges are ordering an unprecedented number of people deported after coming under significant pressure from the administration to do so or risk losing their jobs,https://www.nytimes.com/2026/04/09/us/politics/trump-miller-immigration-judges-purge.html
503,The New York Times,peter schrag dies at 94 wrote of dangers of californias populist streak,his bestreceived book explored the states infatuation with voter initiatives which were sometimes pushed with an antiimmigrant fervor,https://www.nytimes.com/2026/04/07/books/peter-schrag-dead.html
505,The New York Times,newlywed wife of us soldier released from immigration detention,the couple had gone to the husbands army base to complete paperwork so they could move in together but within hours that plan derailed and new york times reporting about the case quickly spread,https://www.nytimes.com/2026/04/07/us/ice-newlywed-military-wife-detain.html
508,alternet,gop infighting heats up as lawmakers battle over key policy,in  alone the united states has faced two partial shutdowns of the federal government a brief shutdown in late january/early february and a much longer one that has been going on since valentines day both of them followed an october/november  shutdownthe current shutdown involves funding for the us department of homeland security dhs many democratic lawmakers are happy to fund the transportation security administration tsa but not us immigration and customs enforcement ice both of which fall under the dhs umbrellabut the clashes over dhs funding within congress go,https://www.alternet.org/freedom-caucus-dhs-ice/
520,alternet,this lacks evidence nyt factcheck debunks trumps new election claims,more than five years and five months after losing the united states  presidential race to democrat joe biden president donald trump continues to claim without evidence that the election was stolen from him that claim that was repeatedly debunked by one vote recount after another yet trump maintains that voter fraud is rampant in the united states  including voting by undocumented immigrants and trump is using that claim to push the safeguard american voter eligibility act the save act or save american act which critics of the bill say would make voting unnecessarily difficult,https://www.alternet.org/trump-election-fact-check/
523,ABC News,ice arrests newlywed wife of army soldier at military base,immigration and customs enforcement agents arrested the wife of a us army staff sergeant at the military base where he is stationed days after their wedding,https://abcnews.com/US/ice-arrests-newlywed-wife-army-soldier-military-base/story?id=131780087
527,alternet,wsj compares trumps messaging to baghdad bob propaganda,president donald trumps approval ratings are in roughly the same territory as president joe bidens when he was defeated in the  election a conservative columnist wrote on monday  and trump is at least partially to blame for thatso far its worked out well on immigration and sex although neither the method of implementation nor the presidents affect has been normal wrote gerard baker of the wall street journal regarding trumps second term agenda and its popularity although baker agreed with trumps antitransgender and antiimmigrant policies he argued that the same,https://www.alternet.org/wsj-trump-2676672149/
528,ABC News,immigrant toddler was sexually abused while in custody lawyer says,a lawyer says a toddler spent several months in custody  and was allegedly sexually abused  even though her father a legal resident was available to care for her,https://abcnews.com/US/immigrant-toddler-sexually-abused-custody-father-sought-release/story?id=131779790
537,alternet,trump doj is infuriating judges as experts say his contempt for the law is backfiring,the justice department is dealing with absolute chaos after a number of district court judges issued strong rulings challenging the legality of some of president donald trumps moves not only is trumps administration dealing with losses by us attorneys in immigrationrelated cases and losing in trumps retribution cases but the doj is also losing when it comes to defending his executive power grabs wrote the guardians peter stone on monday rulings coming in on the cases have gone beyond losses however since trumps second term lower court judges have been writing critical opinions,https://www.alternet.org/trump-lawsuits-court-cases-2676669925/
546,alternet,trump aide who quietly controls the us government just doubled down,president donald trump has fired secretary of homeland security kristi noem and attorney general pam bondi but that does not mean his draconian antiimmigrant agenda will wind down according to a recent report the architect of that agenda remains as entrenched in power as everfar from acknowledging defeat mr miller appears to have simply adjusted his strategy in an effort to minimize political fallout wrote zolan kannoyoungs hamed aleaziz christopher flavelle emily cochrane and glenn thrush of the new york times in a sunday reportthe report elaborated that even as trumps,https://www.alternet.org/miller-immigrants/
551,The New York Times,stephen miller is still pursuing his immigration agenda but more quietly,the architect of president trumps mass deportation campaign wants a moratorium on immigration from third world countries until we can heal ourselves as a nation the chaos in minneapolis has not pushed him off that course,https://www.nytimes.com/2026/04/05/us/politics/stephen-miller-immigration-agenda.html
552,ABC News,child immigrant suffered alleged sexual abuse in federal custody family says,an immigrant family is grappling with the ordeal suffered by a yearold girl who endured alleged sexual abuse while her father fought for five months for her release from federal custody,https://abcnews.com/US/wireStory/3-year-immigrant-suffered-alleged-sexual-abuse-months-131738741
557,BBC News - US & Canada,us says it has arrested relatives of late iranian ​general qasem ​soleimani,the niece and grandniece of qasem soleimani are in the custody of us immigration and customs enforcement officials said,https://www.bbc.com/news/articles/cgqkn4j48qdo?at_medium=RSS&at_campaign=rss
561,The New York Times,foreign doctors forced out of us hospitals by trump immigration policy,physicians from  countries are being pushed out of us hospitals as a policy blocks their ability to work,https://www.nytimes.com/2026/04/04/us/trumps-immigration-policy-sidelines-foreign-doctors-amid-shortage.html
563,The New York Times,arrest of wisconsin mosque leader was tied to trump antisemitism campaign,immigration lawyers and former federal officials say the case of salah sarsour echoes those against other propalestinian activists,https://www.nytimes.com/2026/04/03/us/wisconsin-mosque-leader-antisemitism.html
